path,file_type,purpose,reusable,proposed_action,target_path,risk,notes
runs/2026-07-23-biweekly-review-analysis/walmart_raw.json,json,Walmart raw response evidence,conditional,KEEP,data/history/2026-07-23,high,No reuse without rules review
runs/2026-07-23-biweekly-review-analysis/walmart_api_probe.json,json,Walmart API probe evidence,no,REVIEW_REQUIRED,data/history/2026-07-23,high,Do not treat as approved adapter
runs/2026-07-23-biweekly-review-analysis/walmart_script_matches.json,json,Walmart script analysis evidence,no,REVIEW_REQUIRED,data/history/2026-07-23,high,Do not treat as approved adapter
runs/2026-07-23-biweekly-review-analysis/walmart_script_urls.json,json,Walmart script URL evidence,no,REVIEW_REQUIRED,data/history/2026-07-23,high,Do not treat as approved adapter
runs/2026-07-23-biweekly-review-analysis/walmart_build_manifest.js,javascript,Captured storefront build artifact,no,KEEP,data/history/2026-07-23,high,Immutable technical evidence
runs/2026-07-23-biweekly-review-analysis/walmart_ip_page_chunk.js,javascript,Captured storefront artifact,no,KEEP,data/history/2026-07-23,high,Immutable technical evidence
runs/2026-07-23-biweekly-review-analysis/pages_reviews_product_[id]-ca631406f3b0e336.js,javascript,Captured storefront artifact,no,KEEP,data/history/2026-07-23,high,Immutable technical evidence
runs/2026-07-23-biweekly-review-analysis/bv_collection_preview.html,html,Bazaarvoice collection preview,conditional,KEEP,data/history/2026-07-23,high,Technical evidence only
runs/2026-07-23-biweekly-review-analysis/*.js,javascript,Captured platform build chunks,conditional,KEEP,data/history/2026-07-23,high,12 additional immutable artifacts; do not execute
config/listing_master.xlsx,xlsx,New unified blank Listing Master,yes,KEEP,config/listing_master.xlsx,low,Phase 0 template with no fabricated Listings
database/schema.sql,sql,Canonical target SQLite DDL,yes,KEEP,database/schema.sql,low,Data-free schema
database/migrations/0001_initial_schema.sql,sql,Initial migration metadata,yes,KEEP,database/migrations/0001_initial_schema.sql,low,Apply canonical schema in controlled session
scripts/apply_initial_schema.py,python,Approval-gated SQLite schema initializer,yes,KEEP,scripts/apply_initial_schema.py,low,Does not collect or migrate business data
scripts/create_listing_master.mjs,javascript,Reproducible blank Listing Master template builder,yes,KEEP,scripts/create_listing_master.mjs,low,No Listing values are embedded
AGENTS.md,markdown,Project governance rules,yes,KEEP,AGENTS.md,low,Phase 0 control document
docs/platform_collection_rules.md,markdown,Platform compliance rules,yes,KEEP,docs/platform_collection_rules.md,low,Applies to both modules
docs/data_dictionary.md,markdown,Field and entity definitions,yes,KEEP,docs/data_dictionary.md,low,Schema companion
modules/,directory,New module boundary,no,KEEP,modules/,low,Placeholders only in Phase 0
platforms/,directory,New platform-adapter boundary,no,KEEP,platforms/,low,Placeholders only in Phase 0
shared/,directory,New shared-service boundary,no,KEEP,shared/,low,Placeholders only in Phase 0
data/,directory,New governed data boundary,no,KEEP,data/,low,No historical file moved
screenshots/,logs/,tests/,directory,Future operations and validation paths,no,KEEP,screenshots/ logs/ tests/,low,Placeholders only in Phase 0
